Date,Open,High,Low,Close,Volume
2021-04-09,112.835,114.452,112.686,114.294,20887300
2021-04-08,113.898,114.2,112.884,113.272,27165180
2021-04-07,111.306,112.75,111.267,112.484,25797220
2021-04-06,111.125,111.883,110.74,111.238,27060720
2021-04-05,107.647,111.866,107.581,111.278,43297500
2021-04-01,104.898,107.147,104.844,106.888,33979560
2021-03-31,102.956,104.666,102.837,103.432,29198600
2021-03-30,102.882,103.539,102.202,102.777,20735480
2021-03-29,101.394,102.922,100.781,102.797,24595540
2021-03-26,101.943,102.55,100.701,101.778,29876000
2021-03-25,102.24,102.944,100.536,102.218,28378140
2021-03-24,103.268,103.91,102.078,102.253,23080580
2021-03-23,102.585,103.615,101.961,102.648,27339940
2021-03-22,102.092,102.899,101.304,101.929,39096320
2021-03-19,102.102,102.655,100.884,102.16,46297860
2021-03-18,103.05,103.775,101.678,101.811,27248600
2021-03-17,103.802,105.489,102.7,104.554,25980320
2021-03-16,103.949,106.178,103.5,104.626,29831280
2021-03-15,103.115,103.353,102.176,103.324,25966500
2021-03-12,104.25,104.513,102.378,103.096,34515880
2021-03-11,103.703,106.285,103.619,105.738,24781600
2021-03-10,103.588,103.75,101.668,102.752,25371840
2021-03-09,103.5,103.902,102.392,102.635,33946120
2021-03-08,105.056,106.44,101.08,101.208,32948580
2021-03-05,103.656,105.906,102.321,105.427,43904360
2021-03-04,101.168,104.462,101.014,102.455,42360120
2021-03-03,103.36,104.426,100.5,101.336,29683620
2021-03-02,103.81,105.218,103.563,103.792,22691900
2021-03-01,102.826,104.326,102.305,104.076,28102300
2021-02-26,102.526,103.55,100.803,101.843,41676020
2021-02-25,103.372,104.744,101.064,101.568,36568640
2021-02-24,102.092,105.039,101.907,104.758,24966980
2021-02-23,101.25,104.101,100.101,103.543,33347540
2021-02-22,103.35,104.571,103.107,103.244,27350660
2021-02-19,105.964,106.527,104.87,105.057,29152240
2021-02-18,105.52,106.637,105.186,105.86,22437100
2021-02-17,105.0,106.683,104.946,106.416,21418820
2021-02-16,105.218,107.634,105.218,106.095,22676760
2021-02-12,104.512,105.441,104.157,105.206,17117300
2021-02-11,104.976,105.102,103.866,104.794,18913000
2021-02-10,104.71,105.418,103.155,104.769,22709280
2021-02-09,103.927,105.256,103.927,104.176,17797000
2021-02-08,105.295,106.177,103.6,104.646,24848220
2021-02-05,103.5,105.126,102.966,104.9,30702700
2021-02-04,103.444,103.928,102.13,103.118,37046580
2021-02-03,103.65,105.825,100.919,103.504,82363400
2021-02-02,96.128,97.788,95.7245,96.3755,45474460
2021-02-01,92.6785,96.1196,92.5465,95.0675,32043640
2021-01-29,92.3085,92.864,90.51,91.787,32251040
2021-01-28,92.197,94.9415,92.132,93.1555,35462760
2021-01-27,94.1265,94.5,90.45,91.5395,54965840
2021-01-26,94.442,96.25,94.2122,95.862,26262780
2021-01-25,96.0335,96.479,93.3765,94.97,38546400
2021-01-22,94.784,95.5475,94.088,95.0525,25444640
2021-01-21,94.9,96.743,94.3555,94.5625,41278640
2021-01-20,91.573,95.1855,91.2765,94.345,49805160
2021-01-19,87.6125,90.4638,87.073,89.543,34692280
2021-01-15,86.9095,87.8,86.0775,86.8095,26843400
2021-01-14,87.681,88.7505,86.67,87.009,23589540
2021-01-13,86.929,88.2518,86.9005,87.72,21882620
2021-01-12,87.696,88.902,86.2655,87.3275,27153820
2021-01-11,89.3035,89.7158,88.026,88.336,24194700
2021-01-08,89.399,90.492,88.6768,90.3605,41020040
2021-01-07,87.003,89.42,86.8525,89.3625,45300440
2021-01-06,85.1315,87.4,84.95,86.7645,52042280
2021-01-05,86.25,87.3835,85.9008,87.046,22906940
2021-01-04,87.877,88.0325,85.3925,86.412,38037100
2020-12-31,86.771,87.9465,86.771,87.594,20244800
2020-12-30,88.1005,88.2548,86.28,86.976,26122600
2020-12-29,89.3895,89.622,87.8045,87.936,25987900
2020-12-28,87.5818,89.5364,87.3168,88.8045,27860660
2020-12-24,86.75,87.3,86.4555,86.9425,6935060
2020-12-23,86.4055,87.3995,86.252,86.619,20678340
2020-12-22,86.7215,86.8702,85.6288,86.175,18766920
2020-12-21,85.6755,87.0425,84.95,86.9685,36567560
2020-12-18,87.709,87.7555,86.011,86.5505,80327060
2020-12-17,88.4255,88.5892,86.933,87.395,32494880
2020-12-16,88.644,88.65,87.804,88.15,30270860
2020-12-15,88.221,88.571,87.4975,88.3885,29645220
2020-12-14,88.75,89.8695,87.8608,88.003,32003460
2020-12-11,88.153,89.2225,88.0,89.0885,24413020
2020-12-10,88.49,89.0655,87.016,88.7665,27256960
2020-12-09,90.6005,91.7135,88.3905,89.2065,30138720
2020-12-08,90.505,91.095,89.8102,90.9275,21903000
2020-12-07,90.95,91.6185,90.289,90.974,26411140
2020-12-04,91.226,91.658,90.8495,91.3995,27563320
2020-12-03,91.2005,92.36,91.1325,91.3385,24545960
2020-12-02,89.905,91.7825,89.4736,91.3975,24440640
2020-12-01,88.7185,91.2415,88.4685,89.905,34780900
2020-11-30,89.0592,89.4032,87.75,88.037,36476720
2020-11-27,88.6545,90.2,88.622,89.6595,17698320
2020-11-25,88.6445,88.927,87.827,88.5715,20922440
2020-11-24,86.525,88.58,86.3845,88.444,31594060
2020-11-23,87.48,87.695,85.886,86.743,43239500
2020-11-20,88.2605,88.7,87.093,87.1095,46273100
2020-11-19,86.919,88.4795,86.8502,88.196,24998200
2020-11-18,88.2615,88.6735,87.307,87.339,23469320
2020-11-17,88.847,89.25,88.35,88.5075,22942280
2020-11-16,88.585,89.9535,88.3845,89.069,24935700
2020-11-13,87.8815,89.052,87.2275,88.851,30011480
2020-11-12,87.3815,88.4135,87.28,87.492,24975080
2020-11-11,87.5,88.211,87.3682,87.6355,25279320
2020-11-10,86.5545,88.15,85.865,87.0195,52722840
2020-11-09,89.545,90.903,88.001,88.15,45365400
2020-11-06,87.6975,88.6215,87.0175,88.0875,33224500
2020-11-05,89.05,89.682,87.5255,88.1685,41316240
2020-11-04,85.514,88.5683,85.3015,87.4565,71418540
2020-11-03,81.589,83.085,80.831,82.5105,33233060
2020-11-02,81.408,83.0385,80.8015,81.3015,50708920
2020-10-30,83.6055,84.35,80.223,81.0505,86617240
2020-10-29,76.118,79.6855,76.112,78.362,40061280
2020-10-28,77.987,78.0675,75.731,75.831,36679180
